date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:40	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Dec%202024%2016:49:38%20GMT	https://www.lerepdesawisata.com/robots.txt		(from )
23:49:41	41699/41699	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2016:49:38%20GMT	https://www.lerepdesawisata.com/	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/index.html	(from )
23:49:41	9065/9065	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Nov%202023%2008:44:50%20GMT	https://www.lerepdesawisata.com/img/logo-icon.png	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/img/logo-icon.png	(from https://www.lerepdesawisata.com/)
23:49:41	26053/26053	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2008:45:14%20GMT	https://www.lerepdesawisata.com/frontend/vendor/aos/aos.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/vendor/aos/aos.css	(from https://www.lerepdesawisata.com/)
23:49:41	71750/71750	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2008:45:08%20GMT	https://www.lerepdesawisata.com/frontend/vendor/animate.css/animate.min.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/vendor/animate.css/animate.min.css	(from https://www.lerepdesawisata.com/)
23:49:41	194901/194901	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2008:45:14%20GMT	https://www.lerepdesawisata.com/frontend/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/vendor/bootstrap/css/bootstrap.min.css	(from https://www.lerepdesawisata.com/)
23:49:42	95609/95609	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2008:45:08%20GMT	https://www.lerepdesawisata.com/frontend/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/vendor/bootstrap-icons/bootstrap-icons.css	(from https://www.lerepdesawisata.com/)
23:49:42	68028/68028	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2008:45:25%20GMT	https://www.lerepdesawisata.com/frontend/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/vendor/boxicons/css/boxicons.min.css	(from https://www.lerepdesawisata.com/)
23:49:42	13749/13749	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2008:45:24%20GMT	https://www.lerepdesawisata.com/frontend/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/vendor/glightbox/css/glightbox.min.css	(from https://www.lerepdesawisata.com/)
23:49:42	110438/110438	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2008:45:09%20GMT	https://www.lerepdesawisata.com/frontend/vendor/remixicon/remixicon.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/vendor/remixicon/remixicon.css	(from https://www.lerepdesawisata.com/)
23:49:43	16470/16470	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2008:45:06%20GMT	https://www.lerepdesawisata.com/frontend/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/vendor/swiper/swiper-bundle.min.css	(from https://www.lerepdesawisata.com/)
23:49:43	37607/37607	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2014:10:30%20GMT	https://www.lerepdesawisata.com/frontend/css/style.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/css/style.css	(from https://www.lerepdesawisata.com/)
23:49:43	89947/89947	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2012%20Nov%202023%2008:45:05%20GMT	https://www.lerepdesawisata.com/frontend/js/jquery-3.6.3.min.js	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/js/jquery-3.6.3.min.js	(from https://www.lerepdesawisata.com/)
23:49:43	68360/68360	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2012%20Nov%202023%2009:18:58%20GMT	https://www.lerepdesawisata.com/backend/assets/plugins/global/jquery-validation/dist/jquery.validate.js	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/backend/assets/plugins/global/jquery-validation/dist/jquery.validate.js	(from https://www.lerepdesawisata.com/)
23:49:43	2822/2822	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2012%20Nov%202023%2009:03:30%20GMT	https://www.lerepdesawisata.com/backend/assets/js/pages/custom/vendors/jquery-validation.init.js	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/backend/assets/js/pages/custom/vendors/jquery-validation.init.js	(from https://www.lerepdesawisata.com/)
23:49:44	14657/14657	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2009:03:12%20GMT	https://www.lerepdesawisata.com/backend/assets/plugins/custom/leaflet/leaflet.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/backend/assets/plugins/custom/leaflet/leaflet.css	(from https://www.lerepdesawisata.com/)
23:49:44	146715/146715	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2012%20Nov%202023%2009:03:12%20GMT	https://www.lerepdesawisata.com/backend/assets/plugins/custom/leaflet/leaflet.js	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/backend/assets/plugins/custom/leaflet/leaflet.js	(from https://www.lerepdesawisata.com/)
23:49:44	8520/8520	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Nov%202023%2012:49:17%20GMT	https://www.lerepdesawisata.com/frontend/css/stylex.css	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/frontend/css/stylex.css	(from https://www.lerepdesawisata.com/)
23:49:45	255343/255343	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Nov%202023%2008:44:51%20GMT	https://www.lerepdesawisata.com/img/logo-depan.png	C:/My%20Web%20Sites/Kembanggede/www.lerepdesawisata.com/img/logo-depan.png	(from https://www.lerepdesawisata.com/)
